Timestamp,Temperature (°C),Bitcoin Price (USD)
2025-11-20T02:58:07+0530,13.2,
2025-11-20T03:07:19+0530,13.1,90354.0
2025-11-20T03:14:20+0530,13.1,90261.0
2025-11-20T03:23:02+0530,12.9,90352.0
2025-11-20T03:42:33+0530,12.9,90357.0
2025-11-20T04:03:51+0530,12.7,90474.0
2025-11-20T04:15:39+0530,12.6,90451.0
2025-11-20T04:23:03+0530,12.6,90395.0
2025-11-20T04:42:29+0530,12.6,91205.0
2025-11-20T05:00:19+0530,12.4,91348.0
2025-11-20T05:10:41+0530,12.4,91350.0
2025-11-20T05:22:41+0530,12.3,91228.0
2025-11-20T06:28:49+0530,11.9,91794.0
2025-11-20T08:10:57+0530,12.9,92439.0
2025-11-20T09:04:50+0530,16.4,92435.0
2025-11-20T09:27:01+0530,17.6,92385.0
2025-11-20T09:49:22+0530,19.5,92302.0
2025-11-20T10:09:21+0530,20.2,92270.0
2025-11-20T10:19:41+0530,21.0,92328.0
2025-11-20T10:27:00+0530,21.0,92553.0
2025-11-20T10:47:36+0530,22.0,92815.0
2025-11-20T11:06:51+0530,22.5,92554.0
2025-11-20T11:16:39+0530,22.9,92505.0
2025-11-20T11:24:10+0530,22.9,92590.0
2025-11-20T11:49:04+0530,23.5,92569.0
2025-11-20T12:16:23+0530,24.1,91843.0
2025-11-20T12:28:05+0530,24.1,91741.0
2025-11-20T12:48:54+0530,24.4,91928.0
2025-11-20T13:02:34+0530,24.5,91863.0
2025-11-20T13:13:59+0530,24.5,92029.0
2025-11-20T13:22:39+0530,24.5,92238.0
2025-11-20T13:48:31+0530,24.6,92069.0
2025-11-20T14:14:23+0530,24.6,92167.0
2025-11-20T14:27:49+0530,24.6,91997.0
2025-11-20T14:49:35+0530,24.5,91958.0
2025-11-20T15:06:32+0530,24.4,91817.0
2025-11-20T15:17:14+0530,24.2,91626.0
2025-11-20T15:24:41+0530,24.2,91546.0
2025-11-20T15:44:19+0530,24.1,91577.0
2025-11-20T16:09:29+0530,23.4,91748.0
2025-11-20T16:20:52+0530,23.0,91667.0
2025-11-20T16:42:13+0530,22.7,91666.0
2025-11-20T16:59:09+0530,22.2,91483.0
2025-11-20T17:08:45+0530,21.8,91605.0
2025-11-20T17:16:27+0530,21.3,91732.0
2025-11-20T17:24:04+0530,21.3,91725.0
2025-11-20T17:55:45+0530,20.5,91740.0
2025-11-20T18:35:37+0530,19.3,91706.0
2025-11-20T19:07:14+0530,18.5,91804.0
2025-11-20T19:18:41+0530,18.1,91583.0
2025-11-20T19:26:21+0530,18.1,91766.0
2025-11-20T19:45:47+0530,17.6,90723.0
2025-11-20T20:06:10+0530,17.3,91267.0
2025-11-20T20:16:14+0530,17.0,90980.0
2025-11-20T20:23:55+0530,17.0,90778.0
2025-11-20T20:43:40+0530,16.9,90598.0
2025-11-20T21:05:18+0530,16.6,90350.0
2025-11-20T21:17:46+0530,16.6,90437.0
2025-11-20T21:25:36+0530,16.6,90130.0
2025-11-20T21:47:13+0530,16.5,88572.0
2025-11-20T22:15:07+0530,16.1,88120.0
2025-11-20T22:28:57+0530,16.1,87815.0
2025-11-20T22:47:10+0530,16.0,86907.0
2025-11-20T23:02:28+0530,16.0,87048.0
2025-11-20T23:15:16+0530,15.9,86758.0
2025-11-20T23:23:09+0530,15.9,86687.0
2025-11-20T23:49:17+0530,15.8,87537.0
2025-11-21T00:16:33+0530,15.6,86667.0
2025-11-21T00:28:38+0530,15.6,86321.0
2025-11-21T00:46:39+0530,15.4,86308.0
2025-11-21T00:58:54+0530,15.4,86745.0
